"","decile","count","avg_pre_spent","avg_Actual_spent","total_pre_spent","total_act_spent"
"1",10,350,1177.17657655317,1240.64298857143,412011.801793611,434225.046
"2",9,350,1054.67717238246,1082.02180285714,369137.010333862,378707.630999999
"3",8,350,1002.59124840701,1002.72970857143,350906.936942453,350955.398
"4",7,350,964.455456124263,964.710611428571,337559.409643492,337648.714
"5",6,350,929.471751600831,935.214297142856,325315.113060291,327325.004
"6",5,350,897.74822087897,902.511222857143,314211.87730764,315878.928
"7",4,350,863.446487182295,867.895199999999,302206.270513803,303763.32
"8",3,350,825.729104618727,826.588828571429,289005.186616555,289306.09
"9",2,350,782.319120373571,780.173285714285,273811.69213075,273060.65
"10",1,350,699.14441019308,719.001685714286,244700.543567578,251650.59
