"","decile","count","avg_pre_spent","avg_Actual_spent","total_pre_spent","total_act_spent"
"1",10,150,1191.95924912097,1299.96103666667,178793.887368146,194994.1555
"2",9,150,1069.68692630209,1102.23215666667,160453.038945314,165334.8235
"3",8,150,1007.15576651296,1038.18334666667,151073.364976945,155727.502
"4",7,150,964.221288568574,975.695336666667,144633.193285286,146354.3005
"5",6,150,932.182696523869,939.452116666667,139827.40447858,140917.8175
"6",5,150,898.246507820569,878.045386666667,134736.976173085,131706.808
"7",4,150,864.469928877723,860.55785,129670.489331658,129083.6775
"8",3,150,827.846734156563,821.504066666667,124177.010123485,123225.61
"9",2,150,788.121198617324,788.3956,118218.179792599,118259.34
"10",1,150,698.752058957979,712.661866666667,104812.808843697,106899.28
